customer_key,customer_name,age,gender,city,state,country
C007116,Customer_115,32,Male,Houston,TX,USA
C003706,Customer_116,70,Male,Miami,NY,USA
C004751,Customer_117,20,Male,Chicago,TX,USA
C002036,Customer_118,69,Male,New York,TX,USA
C004365,Customer_119,38,Female,Miami,CA,USA
C004483,Customer_120,43,Male,Miami,NY,USA
C001600,Customer_121,35,Female,Los Angeles,CA,USA
C006222,Customer_122,22,Female,Los Angeles,CA,USA
C006521,Customer_123,31,Female,New York,NY,USA
C000984,Customer_124,54,Male,New York,IL,USA
C003786,Customer_125,63,Male,Chicago,IL,USA
C006609,Customer_126,38,Male,New York,IL,USA
C003761,Customer_127,31,Male,New York,NY,USA
C000356,Customer_128,59,Male,Houston,IL,USA
C004585,Customer_129,49,Female,Chicago,TX,USA
C000309,Customer_130,43,Male,Miami,NY,USA
C000696,Customer_131,59,Female,New York,IL,USA
C005792,Customer_132,47,Male,Miami,CA,USA
C008240,Customer_133,27,Female,Miami,NY,USA
C006506,Customer_134,34,Male,New York,FL,USA
C008485,Customer_135,26,Male,Chicago,TX,USA
C001377,Customer_136,33,Male,Chicago,FL,USA
C001951,Customer_137,65,Male,Los Angeles,FL,USA
C000468,Customer_138,53,Female,Miami,CA,USA
C008169,Customer_139,52,Female,Houston,FL,USA
C003589,Customer_140,34,Male,Houston,IL,USA
C004255,Customer_141,65,Male,Los Angeles,IL,USA
C000265,Customer_142,55,Male,Miami,IL,USA
C000475,Customer_143,45,Male,Los Angeles,NY,USA
C006453,Customer_144,55,Female,Houston,IL,USA
C004605,Customer_145,43,Female,Los Angeles,IL,USA
C004081,Customer_146,41,Male,Miami,FL,USA
C002750,Customer_147,32,Female,New York,FL,USA
C004401,Customer_148,26,Female,Houston,CA,USA
C002110,Customer_149,50,Female,Chicago,NY,USA
C007170,Customer_150,49,Female,Los Angeles,NY,USA
C001647,Customer_151,23,Male,Los Angeles,IL,USA
C009085,Customer_152,66,Male,New York,NY,USA
C003950,Customer_153,21,Male,Los Angeles,IL,USA
C007980,Customer_154,25,Male,Houston,TX,USA
C005512,Customer_155,27,Male,Miami,NY,USA
C005690,Customer_156,58,Male,Chicago,NY,USA
C005423,Customer_157,28,Female,Los Angeles,CA,USA
C007461,Customer_158,68,Male,Miami,CA,USA
C005548,Customer_159,61,Male,Miami,IL,USA
C009187,Customer_160,45,Male,Chicago,NY,USA
C007335,Customer_161,56,Female,Houston,CA,USA
C002760,Customer_162,22,Female,Chicago,TX,USA
C006111,Customer_163,42,Female,Los Angeles,FL,USA
C000827,Customer_164,42,Male,New York,TX,USA
C000247,Customer_165,56,Female,Los Angeles,NY,USA
C005046,Customer_166,47,Male,Houston,IL,USA
C005367,Customer_167,51,Male,Los Angeles,TX,USA
C007465,Customer_168,34,Female,Chicago,FL,USA
C004321,Customer_169,53,Male,Miami,FL,USA
C008394,Customer_170,18,Male,Houston,NY,USA
C004333,Customer_171,61,Male,Los Angeles,NY,USA
C008928,Customer_172,64,Female,New York,FL,USA
C008992,Customer_173,25,Male,Chicago,TX,USA
C008381,Customer_174,61,Female,Chicago,TX,USA
C005131,Customer_175,52,Male,New York,FL,USA
C006179,Customer_176,66,Male,Houston,TX,USA
C005302,Customer_177,35,Female,New York,FL,USA
C007110,Customer_178,67,Female,Houston,NY,USA
C006397,Customer_179,59,Male,Chicago,CA,USA
C001432,Customer_180,39,Female,Houston,CA,USA
C000360,Customer_181,25,Male,Los Angeles,IL,USA
C002796,Customer_182,36,Male,Chicago,IL,USA
C005519,Customer_183,45,Female,Chicago,IL,USA
C003460,Customer_184,28,Male,Chicago,TX,USA
C005672,Customer_185,47,Female,New York,FL,USA
C007281,Customer_186,18,Female,Los Angeles,IL,USA
C008944,Customer_187,64,Male,Houston,IL,USA
C007426,Customer_188,64,Female,Los Angeles,TX,USA
C004033,Customer_189,34,Male,Chicago,TX,USA
C007308,Customer_190,50,Female,Chicago,FL,USA
C008308,Customer_191,66,Female,Miami,IL,USA
C000369,Customer_192,29,Male,Los Angeles,NY,USA
C002064,Customer_193,50,Female,Chicago,CA,USA
C007492,Customer_194,24,Male,Los Angeles,TX,USA
C000758,Customer_195,58,Male,New York,TX,USA
C004895,Customer_196,37,Male,New York,IL,USA
C006846,Customer_197,58,Female,Houston,NY,USA
C007703,Customer_198,50,Male,Houston,NY,USA
C001545,Customer_199,56,Male,Chicago,TX,USA
C006072,Customer_200,30,Female,Houston,CA,USA
C007037,Customer_201,27,Female,Chicago,CA,USA
C005164,Customer_202,41,Female,Chicago,FL,USA
C001344,Customer_203,66,Male,Miami,IL,USA
C004922,Customer_204,28,Female,Miami,TX,USA
C001275,Customer_205,52,Male,Miami,CA,USA
C003776,Customer_206,67,Female,Miami,TX,USA
C000793,Customer_207,51,Male,New York,FL,USA
C007650,Customer_208,18,Male,Los Angeles,CA,USA
C001380,Customer_209,56,Male,New York,NY,USA
C007918,Customer_210,38,Male,Chicago,IL,USA
C007540,Customer_211,49,Female,Los Angeles,FL,USA
C002403,Customer_212,19,Female,Miami,TX,USA
C008334,Customer_213,25,Male,Miami,IL,USA
C002273,Customer_214,41,Female,Miami,TX,USA
C003291,Customer_215,69,Female,Los Angeles,CA,USA
C008759,Customer_216,37,Female,Chicago,FL,USA
C007688,Customer_217,33,Male,Chicago,CA,USA
C001301,Customer_218,21,Female,Los Angeles,TX,USA
C004865,Customer_219,33,Male,Houston,CA,USA
C000956,Customer_220,54,Male,Miami,NY,USA
C003334,Customer_221,23,Female,New York,FL,USA
C007896,Customer_222,23,Female,Chicago,TX,USA
C007055,Customer_223,64,Male,New York,FL,USA
C001641,Customer_224,49,Male,Chicago,CA,USA
C004228,Customer_225,70,Male,New York,NY,USA
C003178,Customer_226,22,Female,Chicago,CA,USA
C000730,Customer_227,66,Male,Los Angeles,FL,USA
C008065,Customer_228,52,Male,Los Angeles,NY,USA
C004292,Customer_229,67,Female,Los Angeles,IL,USA
C008389,Customer_230,26,Male,Los Angeles,FL,USA
C004994,Customer_231,26,Female,Chicago,IL,USA
C004062,Customer_232,60,Female,Los Angeles,IL,USA
C008732,Customer_233,48,Female,Miami,CA,USA
C004010,Customer_234,53,Male,Chicago,CA,USA
C003404,Customer_235,28,Female,Miami,CA,USA
C008558,Customer_236,34,Female,Chicago,CA,USA
C004462,Customer_237,51,Male,New York,IL,USA
C003760,Customer_238,56,Male,Houston,NY,USA
C002286,Customer_239,45,Male,Los Angeles,TX,USA
C007463,Customer_240,31,Female,Los Angeles,IL,USA
C005848,Customer_241,52,Male,New York,NY,USA
C003816,Customer_242,66,Male,New York,FL,USA
C005041,Customer_243,64,Female,New York,IL,USA
C005839,Customer_244,62,Female,Miami,IL,USA
C007131,Customer_245,30,Male,Houston,FL,USA
C003607,Customer_246,63,Male,Miami,CA,USA
C004715,Customer_247,37,Male,Houston,FL,USA
C005378,Customer_248,43,Female,New York,TX,USA
C003119,Customer_249,60,Female,Miami,TX,USA
C009156,Customer_250,59,Male,New York,NY,USA
C005784,Customer_251,41,Female,Miami,TX,USA
C004410,Customer_252,46,Male,Los Angeles,CA,USA
C007610,Customer_253,51,Female,Los Angeles,IL,USA
C002237,Customer_254,46,Female,Miami,IL,USA
C009152,Customer_255,25,Male,New York,TX,USA
C007931,Customer_256,33,Female,Los Angeles,TX,USA
C007309,Customer_257,32,Male,Houston,IL,USA
C003306,Customer_258,22,Female,Los Angeles,TX,USA
C000036,Customer_259,39,Female,Los Angeles,CA,USA
C008766,Customer_260,19,Male,Houston,NY,USA
C008798,Customer_261,55,Male,Chicago,IL,USA
C006415,Customer_262,53,Female,Los Angeles,FL,USA
C007020,Customer_263,32,Female,New York,IL,USA
C002621,Customer_264,55,Male,Houston,FL,USA
C004197,Customer_265,32,Female,New York,IL,USA
C006096,Customer_266,18,Female,New York,NY,USA
C004580,Customer_267,22,Female,New York,TX,USA
C007301,Customer_268,63,Male,Miami,IL,USA
C006052,Customer_269,58,Male,Miami,FL,USA
C003931,Customer_270,21,Female,Houston,NY,USA
C008489,Customer_271,32,Male,Chicago,TX,USA
C002433,Customer_272,22,Female,Houston,NY,USA
C006369,Customer_273,20,Male,New York,TX,USA
C007357,Customer_274,39,Male,Houston,NY,USA
C000104,Customer_275,22,Female,Miami,IL,USA
C003452,Customer_276,50,Female,Houston,NY,USA
C007030,Customer_277,33,Female,Miami,CA,USA
C008553,Customer_278,35,Male,Miami,CA,USA
C009164,Customer_279,60,Female,New York,NY,USA
C002790,Customer_280,49,Female,New York,FL,USA
C000679,Customer_281,31,Male,Los Angeles,NY,USA
C003455,Customer_282,52,Male,Los Angeles,TX,USA
C000196,Customer_283,26,Male,New York,FL,USA
C007134,Customer_284,64,Male,New York,FL,USA
C000005,Customer_285,54,Female,Miami,NY,USA
C007681,Customer_286,54,Male,New York,IL,USA
C004646,Customer_287,48,Male,Chicago,NY,USA
C003506,Customer_288,33,Female,Houston,CA,USA
C003635,Customer_289,68,Male,New York,IL,USA
C004565,Customer_290,48,Male,Miami,IL,USA
C000111,Customer_291,69,Female,Los Angeles,TX,USA
C005112,Customer_292,44,Female,Miami,TX,USA
C004541,Customer_293,30,Female,Miami,NY,USA
C008249,Customer_294,24,Female,New York,FL,USA
C007549,Customer_295,24,Female,Los Angeles,IL,USA
C005685,Customer_296,60,Male,Houston,FL,USA
C001656,Customer_297,45,Male,Chicago,CA,USA
C003956,Customer_298,40,Female,Houston,TX,USA
C003913,Customer_299,45,Female,Houston,TX,USA
C000236,Customer_300,44,Female,Chicago,IL,USA
C001625,Customer_301,47,Female,Chicago,NY,USA
C008610,Customer_302,64,Male,Miami,CA,USA
C001357,Customer_303,21,Female,New York,FL,USA
C001865,Customer_304,61,Female,Houston,CA,USA
C002961,Customer_305,59,Female,New York,FL,USA
C003323,Customer_306,59,Female,Miami,TX,USA
C008344,Customer_307,24,Male,Los Angeles,IL,USA
C005023,Customer_308,21,Male,Houston,CA,USA
C003555,Customer_309,43,Female,Chicago,CA,USA
C006578,Customer_310,64,Male,Miami,NY,USA
C002672,Customer_311,39,Male,Chicago,CA,USA
C006701,Customer_312,69,Female,Los Angeles,TX,USA
C005152,Customer_313,24,Male,New York,IL,USA
C001720,Customer_314,33,Female,New York,NY,USA
C006757,Customer_315,30,Male,Chicago,FL,USA
C004274,Customer_316,30,Male,Miami,FL,USA
C000869,Customer_317,52,Male,New York,TX,USA
C007319,Customer_318,46,Female,New York,CA,USA
C008171,Customer_319,26,Male,Miami,NY,USA
C001278,Customer_320,45,Male,Miami,FL,USA
C007272,Customer_321,29,Female,Chicago,CA,USA
C000821,Customer_322,35,Male,New York,TX,USA
C001332,Customer_323,47,Male,Miami,TX,USA
C003410,Customer_324,33,Male,Chicago,TX,USA
C005453,Customer_325,22,Female,Los Angeles,TX,USA
C004840,Customer_326,46,Female,Los Angeles,NY,USA
C000308,Customer_327,69,Male,Houston,FL,USA
C006171,Customer_328,53,Female,Miami,TX,USA
C000624,Customer_329,24,Female,Houston,TX,USA
C001232,Customer_330,21,Female,Chicago,TX,USA
C006164,Customer_331,59,Female,New York,TX,USA
C007612,Customer_332,52,Male,Miami,NY,USA
C008768,Customer_333,18,Female,Los Angeles,NY,USA
C006811,Customer_334,23,Male,Houston,CA,USA
C003139,Customer_335,66,Male,Los Angeles,IL,USA
C007079,Customer_336,33,Male,Los Angeles,TX,USA
C004632,Customer_337,28,Male,Los Angeles,CA,USA
C007752,Customer_338,44,Female,Los Angeles,IL,USA
C001501,Customer_339,49,Female,Miami,CA,USA
C000339,Customer_340,48,Female,Miami,NY,USA
C005675,Customer_341,31,Female,Miami,CA,USA
C005584,Customer_342,43,Female,Los Angeles,CA,USA
C007097,Customer_343,21,Female,New York,CA,USA
C001350,Customer_344,28,Female,Los Angeles,CA,USA
C008892,Customer_345,42,Female,Houston,IL,USA
C003035,Customer_346,18,Male,Chicago,FL,USA
C005881,Customer_347,42,Female,Chicago,FL,USA
C006570,Customer_348,34,Male,Chicago,FL,USA
C003225,Customer_349,68,Female,Houston,NY,USA
C008021,Customer_350,68,Male,New York,NY,USA
C006300,Customer_351,47,Female,New York,CA,USA
C001717,Customer_352,36,Female,Chicago,TX,USA
C000909,Customer_353,45,Female,New York,TX,USA
C003203,Customer_354,62,Male,Chicago,FL,USA
C002318,Customer_355,64,Male,Los Angeles,CA,USA
C000423,Customer_356,68,Female,Miami,TX,USA
C001844,Customer_357,53,Female,Miami,TX,USA
C008487,Customer_358,60,Female,Houston,IL,USA
C007961,Customer_359,63,Male,New York,FL,USA
C004087,Customer_360,49,Male,Chicago,NY,USA
C007815,Customer_361,27,Female,New York,NY,USA
C000165,Customer_362,30,Male,Chicago,TX,USA
C002138,Customer_363,36,Male,Los Angeles,TX,USA
C007964,Customer_364,31,Male,Houston,FL,USA
C005652,Customer_365,21,Male,Houston,NY,USA
C007805,Customer_366,55,Male,Houston,IL,USA
C008188,Customer_367,65,Male,Houston,CA,USA
C004819,Customer_368,52,Male,New York,IL,USA
C008266,Customer_369,21,Female,Miami,IL,USA
C000181,Customer_370,65,Male,New York,TX,USA
C005720,Customer_371,38,Female,New York,NY,USA
C006639,Customer_372,21,Female,Los Angeles,IL,USA
C002044,Customer_373,21,Female,Houston,IL,USA
C007497,Customer_374,55,Male,New York,NY,USA
C005866,Customer_375,48,Male,New York,FL,USA
C006396,Customer_376,50,Male,Los Angeles,CA,USA
C006382,Customer_377,51,Female,New York,CA,USA
C005939,Customer_378,28,Female,Miami,CA,USA
C002336,Customer_379,21,Male,Los Angeles,IL,USA
C000545,Customer_380,50,Female,Chicago,NY,USA
C000540,Customer_381,23,Female,Houston,TX,USA
C004909,Customer_382,29,Male,Houston,IL,USA
C002137,Customer_383,22,Female,Miami,TX,USA
C003582,Customer_384,56,Male,New York,IL,USA
C004005,Customer_385,22,Male,New York,TX,USA
C003254,Customer_386,61,Female,Houston,IL,USA
C000176,Customer_387,33,Female,Los Angeles,CA,USA
C009190,Customer_388,43,Male,Houston,TX,USA
C004741,Customer_389,25,Female,New York,NY,USA
C001457,Customer_390,54,Female,Chicago,NY,USA
C007901,Customer_391,33,Male,Los Angeles,FL,USA
C001816,Customer_392,55,Male,New York,TX,USA
C000862,Customer_393,56,Female,Los Angeles,CA,USA
C007406,Customer_394,20,Female,Los Angeles,TX,USA
C006561,Customer_395,57,Female,Chicago,CA,USA
C008661,Customer_396,23,Female,Chicago,TX,USA
C000881,Customer_397,44,Male,Chicago,CA,USA
C005058,Customer_398,60,Female,New York,NY,USA
C005078,Customer_399,55,Female,Houston,FL,USA
C006988,Customer_400,54,Male,Miami,FL,USA
C005421,Customer_401,51,Female,Miami,IL,USA
C000976,Customer_402,38,Male,Los Angeles,TX,USA
C003434,Customer_403,34,Male,Houston,FL,USA
C001653,Customer_404,31,Male,Miami,IL,USA
C006996,Customer_405,60,Female,New York,IL,USA
C007063,Customer_406,63,Male,Houston,FL,USA
C002624,Customer_407,38,Female,Houston,CA,USA
C001874,Customer_408,33,Male,Houston,CA,USA
C002851,Customer_409,34,Female,Miami,TX,USA
C003260,Customer_410,43,Female,Los Angeles,TX,USA
C005786,Customer_411,26,Male,Miami,TX,USA
C002958,Customer_412,60,Female,Los Angeles,IL,USA
C000497,Customer_413,59,Male,Miami,NY,USA
C007103,Customer_414,37,Male,Chicago,IL,USA
C000856,Customer_415,47,Male,Chicago,FL,USA
C003718,Customer_416,38,Female,New York,NY,USA
C008555,Customer_417,66,Male,New York,NY,USA
C004485,Customer_418,22,Male,Los Angeles,CA,USA
C008345,Customer_419,18,Male,Chicago,FL,USA
C008999,Customer_420,47,Female,Miami,IL,USA
C007101,Customer_421,57,Male,New York,NY,USA
C009113,Customer_422,54,Female,Miami,CA,USA
C007343,Customer_423,24,Male,Houston,IL,USA
C005110,Customer_424,22,Female,Los Angeles,IL,USA
C005222,Customer_425,52,Female,Chicago,NY,USA
C006733,Customer_426,31,Male,Chicago,CA,USA
C007105,Customer_427,50,Female,Los Angeles,IL,USA
C008009,Customer_428,34,Female,Houston,IL,USA
C006122,Customer_429,26,Male,Miami,IL,USA
C004477,Customer_430,40,Female,Miami,FL,USA
C008910,Customer_431,22,Female,Los Angeles,TX,USA
C002244,Customer_432,33,Female,Houston,TX,USA
C004829,Customer_433,41,Female,New York,CA,USA
C003519,Customer_434,36,Male,Los Angeles,CA,USA
C003486,Customer_435,28,Female,Los Angeles,FL,USA
C002238,Customer_436,46,Female,Chicago,FL,USA
C002905,Customer_437,52,Female,Miami,CA,USA
C000662,Customer_438,63,Female,New York,FL,USA
C004563,Customer_439,37,Female,New York,NY,USA
C008136,Customer_440,57,Male,New York,IL,USA
C005345,Customer_441,69,Male,Chicago,TX,USA
C001581,Customer_442,59,Female,Houston,CA,USA
C003430,Customer_443,51,Female,New York,CA,USA
C003069,Customer_444,18,Female,Miami,NY,USA
C005155,Customer_445,60,Female,New York,IL,USA
C001500,Customer_446,70,Male,Miami,IL,USA
C008667,Customer_447,53,Female,Chicago,IL,USA
C006351,Customer_448,37,Female,Miami,TX,USA
C004102,Customer_449,60,Male,Miami,NY,USA
C007664,Customer_450,24,Male,New York,IL,USA
C007293,Customer_451,26,Male,Chicago,TX,USA
C001095,Customer_452,34,Male,Chicago,IL,USA
C004985,Customer_453,25,Female,Miami,FL,USA
C005107,Customer_454,24,Female,Los Angeles,CA,USA
C007256,Customer_455,65,Female,New York,CA,USA
C005770,Customer_456,53,Male,Houston,IL,USA
C005111,Customer_457,27,Female,Chicago,NY,USA
C004900,Customer_458,35,Male,Miami,NY,USA
C007152,Customer_459,36,Male,Los Angeles,IL,USA
C001914,Customer_460,56,Female,Houston,FL,USA
C001911,Customer_461,31,Female,Miami,TX,USA
C000851,Customer_462,63,Female,Miami,FL,USA
C004489,Customer_463,39,Male,Miami,FL,USA
C003496,Customer_464,31,Female,Houston,TX,USA
C001470,Customer_465,61,Male,Miami,FL,USA
C001533,Customer_466,58,Male,Miami,IL,USA
C000872,Customer_467,34,Male,Houston,CA,USA
C006269,Customer_468,50,Female,Chicago,NY,USA
C008861,Customer_469,49,Female,Miami,CA,USA
C002250,Customer_470,34,Female,Miami,NY,USA
C003457,Customer_471,21,Male,Miami,IL,USA
C001654,Customer_472,23,Female,Houston,NY,USA
C000225,Customer_473,58,Female,New York,FL,USA
C007837,Customer_474,45,Female,Miami,IL,USA
C002928,Customer_475,35,Female,Chicago,IL,USA
C005340,Customer_476,20,Male,Los Angeles,CA,USA
C002993,Customer_477,18,Male,Miami,TX,USA
C007592,Customer_478,39,Male,Chicago,TX,USA
C007746,Customer_479,67,Male,Miami,TX,USA
C005610,Customer_480,26,Female,Houston,TX,USA
C003414,Customer_481,58,Female,Miami,NY,USA
C002706,Customer_482,34,Female,Los Angeles,FL,USA
C007013,Customer_483,28,Male,Los Angeles,CA,USA
C003365,Customer_484,65,Female,Chicago,NY,USA
C003314,Customer_485,46,Female,Miami,FL,USA
C006696,Customer_486,53,Male,New York,IL,USA
C000876,Customer_487,63,Female,Chicago,FL,USA
C008822,Customer_488,45,Male,New York,NY,USA
C005808,Customer_489,53,Male,Miami,NY,USA
C004215,Customer_490,18,Male,Chicago,NY,USA
C006602,Customer_491,25,Female,Miami,FL,USA
C008841,Customer_492,22,Female,Miami,TX,USA
C001727,Customer_493,62,Male,Los Angeles,CA,USA
C003804,Customer_494,27,Female,Los Angeles,NY,USA
C002182,Customer_495,52,Female,Los Angeles,IL,USA
C009138,Customer_496,20,Female,New York,CA,USA
C004787,Customer_497,41,Female,Los Angeles,FL,USA
C003109,Customer_498,55,Female,Los Angeles,NY,USA
C001174,Customer_499,53,Male,Chicago,IL,USA
C003242,Customer_500,27,Female,Los Angeles,NY,USA
C006278,Customer_501,45,Male,Houston,NY,USA
C000346,Customer_502,26,Female,Houston,IL,USA
C006691,Customer_503,20,Male,Miami,CA,USA
C004265,Customer_504,37,Male,Miami,TX,USA
C007656,Customer_505,41,Male,New York,TX,USA
C006962,Customer_506,68,Female,Houston,FL,USA
C004966,Customer_507,20,Female,Miami,TX,USA
C002326,Customer_508,40,Male,New York,CA,USA
C002774,Customer_509,31,Female,Miami,NY,USA
C008470,Customer_510,61,Male,Houston,NY,USA
C008295,Customer_511,33,Male,Los Angeles,TX,USA
C008779,Customer_512,60,Female,Houston,FL,USA
C001407,Customer_513,24,Female,New York,NY,USA
C004773,Customer_514,40,Female,Houston,FL,USA
C007467,Customer_515,67,Female,Houston,TX,USA
C008383,Customer_516,53,Male,New York,NY,USA
C002145,Customer_517,44,Female,Houston,NY,USA
C005116,Customer_518,57,Female,Los Angeles,FL,USA
C000871,Customer_519,65,Male,Los Angeles,TX,USA
C001138,Customer_520,27,Male,Chicago,FL,USA
C001968,Customer_521,33,Male,Miami,IL,USA
C003966,Customer_522,28,Male,Los Angeles,TX,USA
C003492,Customer_523,69,Male,Miami,IL,USA
C009170,Customer_524,69,Female,Miami,CA,USA
C001199,Customer_525,29,Female,Los Angeles,IL,USA
C005824,Customer_526,44,Female,Chicago,TX,USA
C005102,Customer_527,19,Female,Miami,NY,USA
C009093,Customer_528,29,Female,Chicago,TX,USA
C003890,Customer_529,65,Male,Los Angeles,FL,USA
C003363,Customer_530,39,Female,Miami,NY,USA
C007403,Customer_531,68,Male,Los Angeles,CA,USA
C004066,Customer_532,44,Male,Miami,TX,USA
C007730,Customer_533,69,Male,New York,FL,USA
C007188,Customer_534,60,Female,Chicago,CA,USA
C006066,Customer_535,65,Female,New York,CA,USA
C009010,Customer_536,69,Female,Chicago,NY,USA
C005292,Customer_537,33,Female,Houston,IL,USA
C006295,Customer_538,35,Female,New York,IL,USA
C000962,Customer_539,28,Male,Los Angeles,CA,USA
C001594,Customer_540,68,Male,Miami,CA,USA
C005617,Customer_541,62,Male,Miami,NY,USA
C008792,Customer_542,24,Male,Houston,TX,USA
C001424,Customer_543,42,Male,Chicago,NY,USA
C002259,Customer_544,20,Male,New York,NY,USA
C006033,Customer_545,48,Male,Miami,CA,USA
